,Location,Cood
0,天水,"105.724947,34.580863"
1,兰州火车站（1号线）,"103.850298,36.034500"
2,柳园,"120.315948,29.144121"
3,兰州,"103.834303,36.061089"
4,格尔木,[]
5,秦安高铁站,[]
6,酒泉,"98.494483,39.732410"
7,西和,[]
8,七彩丹霞返程,[]
9,中川机场,"103.617149,36.508003"
10,东方酒店(兰州大学),"103.855273,36.047864"
11,卓尼,"103.507109,34.589588"
12,合作,"102.910882,35.000399"
13,临潭,[]
14,定西,"104.626282,35.580662"
15,陇西,"104.643771,35.000782"
16,罗坝,"119.084488,32.969536"
17,马坞,"112.368172,34.186378"
18,华亭,"106.662460,35.219951"
19,会川,"118.436684,30.162193"
20,夏河,[]
21,若尔盖,"102.961798,33.575892"
22,临洮,[]
23,临夏,"103.210538,35.601182"
24,静宁,[]
25,临夏河海大厦,"103.204885,35.600617"
26,古浪,[]
27,麦积,"105.996338,34.368929"
28,平凉,"106.665240,35.543051"
29,平川,[]
30,武都,"104.953921,33.371610"
31,洛门,"105.018784,34.754189"
32,清水,[]
33,礼县,"105.178640,34.189345"
34,刘家峡,"106.572525,33.197033"
35,白银,"104.138559,36.544756"
36,吴忠,"106.198393,37.997460"
37,会宁,"104.884317,36.234493"
38,宁县,"107.928369,35.502177"
39,西安火车站,"108.962759,34.277433"
40,张掖（快客）,"100.449818,38.925875"
41,大柴旦,"95.362228,37.850380"
42,平凉西,"106.665240,35.543051"
43,碌曲,"102.482745,34.584009"
44,康县,"105.609169,33.329136"
45,玉门市,[]
46,泾川,[]
47,舟曲,[]
48,岷县,"104.036880,34.438076"
49,大靖,"116.709915,24.448391"
50,银川,"106.230909,38.487193"
51,西安,"108.940174,34.341568"
52,罗汉洞,"119.279716,40.164059"
53,东风,[]
54,张掖,"100.449818,38.925875"
55,武威,"102.638011,37.928264"
56,金昌,"102.188043,38.520089"
57,玛曲,"102.072698,33.997712"
58,红旗,"114.684065,35.200556"
59,中铺,"118.117157,24.538244"
60,成县,"105.742203,33.750477"
61,秦安,[]
62,蒿支沟,"103.364517,35.456764"
63,三甲集,"103.753136,35.560883"
64,新沟,"112.782227,30.283035"
65,敦煌,[]
66,金塔,[]
67,临泽,[]
68,新坝,"106.922585,39.102177"
69,隆德,[]
70,武山,[]
71,景泰,[]
72,两当,[]
73,漳县,"104.471572,34.848444"
74,汉中,"107.023323,33.067480"
75,莲花,"113.941311,27.122762"
76,靖远,"104.686094,36.564310"
77,西峰,"107.655294,35.733416"
78,冷湖,"93.330612,38.734814"
79,山丹,"101.095167,38.785014"
80,店子街,"106.926071,31.796263"
81,榜罗,"104.944061,35.033543"
82,环县,"107.308501,36.568435"
83,东乡,"116.562208,28.189023"
84,玉门新市区,[]
85,华池,[]
86,康乐,[]
87,南湖,"120.764250,30.742000"
88,额济纳旗,"101.055590,41.954347"
89,肃北,[]
90,靖边,[]
91,庄浪,[]
92,迭部,[]
93,榆中,[]
94,位奇,"101.135925,38.633167"
95,徽县,"106.087780,33.768826"
96,吴忠（银川）,"106.198393,37.997460"
97,和盛,"107.782059,35.431255"
98,花土沟,"106.296577,29.243639"
99,张家川,[]
100,宝鸡,"107.237974,34.361979"
101,瓜州,"95.637894,40.468860"
102,彭阳,"106.638340,35.849565"
103,略阳,[]
104,崇信,[]
105,老军,"101.329285,38.504955"
106,高台,[]
107,兰州西站（3号线）,"103.752244,36.069001"
108,河畔,"116.968552,33.645145"
109,常河,"121.371933,40.982578"
110,阿木去乎,"102.968185,34.671345"
111,谗口,[]
112,固原,"106.242610,36.015855"
113,郭城镇,"121.125626,37.055744"
114,华藏寺,"103.127808,36.984497"
115,临夏快客,"103.210538,35.601182"
116,小坝,"117.633629,43.481041"
117,新城,"108.954637,34.242670"
118,临洮（玉井）,[]
119,甘草店,"104.294067,35.800480"
120,广河,[]
121,羊沙,"103.678169,34.828541"
122,长官路口,[]
123,新堡子,"102.187439,28.298887"
124,民勤,[]
125,草滩,"86.279808,44.304302"
126,什字镇,"107.417084,35.141071"
127,灵台,[]
128,五蛟,"107.813774,36.452950"
129,达板,"103.635696,35.724792"
130,沙井子,"124.523262,44.192291"
131,同心路口,"106.177851,37.988152"
132,定边,[]
133,阿克塞,[]
134,合水,[]
135,宕昌,[]
136,白水江,[]
137,云台,"107.231819,31.605930"
138,民乐,[]
139,甘谷,[]
140,段家集,"112.801773,31.474194"
141,兰州东站,"103.891694,36.030096"
142,悦乐,"107.924408,36.264587"
143,天水路北口,[]
144,咸阳,"108.708991,34.329605"
145,玉门服务区,"98.499388,39.724226"
146,白银大十字,"104.065621,37.192842"
147,桫椤,[]
148,崇信县,"107.035409,35.302123"
149,古城,"100.232257,26.876213"
150,西吉,[]
151,中宁,[]
152,通渭,[]
153,龙山,"109.447267,29.455215"
154,榆林,"109.734589,38.285390"
155,肃南,[]
156,秦川,"112.058487,36.531929"
157,长武,[]
158,骆驼城,"99.589035,39.356823"
159,吴起,[]
160,太石,"105.449348,33.607018"
161,馋口,[]
162,双墩,"119.298340,25.616741"
163,嘉峪关,"98.289152,39.773130"
164,民和,"101.949625,36.832500"
165,安宁区,"103.719090,36.103927"
166,新胜利宾馆（2号线）,"103.818520,36.054508"
167,西宁,"101.778228,36.617144"
168,永昌,[]
169,唐汪,"91.343498,30.441628"
170,望子关,[]
171,栗川,"107.783859,34.665768"
172,西滩,"110.733368,36.461617"
173,炭山岭,"102.667374,36.952091"
174,马力,"104.702667,34.661198"
175,镇原,[]
176,靖远汽车站,"104.679318,36.555577"
177,青龙,"118.947033,40.406548"
178,许三湾,"99.491806,39.371906"
179,三营,"132.648636,47.271194"
180,建设坪,[]
181,乐都,[]
182,锁龙,"104.707855,34.382217"
183,牛坡,"109.839256,27.603758"
184,盐锅峡,"103.300049,36.085102"
185,上杜,"117.692146,32.122536"
186,安家嘴,"106.519188,29.594280"
187,罗城桥,[]
188,小河滩,"113.579613,37.769047"
189,张湾,"110.800730,32.682971"
190,柳家营什字,"103.767685,36.069370"
191,霍城,[]
192,威戎,"105.766235,35.367069"
193,元山子,"124.292648,48.583435"
194,蒿支沟快客,"103.364517,35.456764"
195,永昌县,"101.984649,38.243170"
196,闾井,"104.562782,34.318779"
197,彬县,"108.077658,35.043911"
198,北道,"118.276657,35.089302"
199,唐家台,"112.163124,32.049664"
200,鸡川,"118.563927,29.754826"
201,海原,"105.643487,36.565033"
202,贡巴,"85.185097,28.807430"
203,神木,"110.499250,38.836500"
204,五合（白塔）,[]
205,裴家营,"117.162712,36.733982"
206,刘寨柯,"105.168098,36.938469"
207,王家山,"121.595825,29.597731"
208,长坝,"120.179886,30.478807"
209,七彩丹霞,[]
210,盘安,"117.152908,28.825714"
211,西固区（西沙大桥）,"103.626909,36.140311"
212,西安高铁站,"108.947000,34.292000"
213,八井,"130.831573,45.368294"
214,陇川,"97.792105,24.182965"
215,天堂寺镇,"114.431549,32.784554"
216,新井,"121.613091,29.560009"
217,吴家川,"104.532333,36.670162"
218,一工程村,"100.118713,39.382885"
219,义岗,"105.270386,35.429935"
220,五三零,"128.998230,47.478561"
221,安口,"118.912560,39.781216"
222,清泉服务区,"115.266571,30.464556"
223,巴下,"101.076118,30.773092"
224,什川,"104.906631,35.147884"
225,梨园,"112.259789,30.323334"
226,长庆桥,"112.650673,21.869471"
227,寺子,"113.881165,37.125515"
228,也虎桥,[]
229,青羊峡,"104.003480,30.667734"
230,兰州中川机场,"103.620392,36.514303"
231,礼泉,[]
232,新华镇,[]
233,黑泉,"102.436195,36.271111"
234,连城,[]
235,新景,"118.186218,25.054205"
236,柏林,"106.463654,29.522301"
237,玉门东站,[]
238,北京,"116.407526,39.904030"
239,滩歌,"104.841805,34.626759"
240,永登,[]
241,盘克,"108.249992,35.746510"
242,新华农场,[]
243,惠安堡,[]
244,石峡,"115.953705,40.304195"
245,白银饭店,"104.174712,36.543278"
246,明海,[]
247,黄河家园,"123.419670,41.824867"
248,黄羊镇,"102.851082,37.673000"
249,汪川,"105.580734,34.226475"
250,桃园,"106.809906,32.663643"
251,靖安,[]
252,党岘,[]
253,杜寨柯,"105.285126,36.589447"
254,江可河,[]
255,海石湾,"102.853081,36.345928"
256,土盆,"117.534370,34.409290"
257,盐关,"110.750160,31.050285"
258,共丰,"104.844063,36.135700"
259,箭台,"100.335320,39.173424"
260,天城,"118.205734,26.176189"
261,旱平川,"104.699896,36.777684"
262,丰乐,"118.266426,29.889141"
263,孟家庄,"117.618881,36.198929"
264,三十里墩,"120.515709,32.522106"
265,铺坝,"105.661621,33.497303"
266,平洛,"112.503952,32.830105"
267,渭源,[]
268,和政,[]
269,华岐,"120.468994,31.645578"
270,宣化,"115.061992,40.611391"
271,惠安,"118.796580,25.030840"
272,宋坪,"109.252495,36.596210"
273,盐池,"107.407359,37.783205"
274,中山桥,[]
275,东五,"123.960007,47.358963"
276,南华,[]
277,永新,[]
278,宣化南,"115.061992,40.611391"
279,土门,"110.797592,32.680424"
280,李子园,"111.949272,25.582159"
281,榆林子,[]
282,马家堡,"123.611031,41.965359"
283,沈家滩,"98.757408,39.712029"
284,磐安,"120.440716,29.059819"
285,五大坪,[]
286,天水（低速）,"105.724947,34.580863"
287,花墙,"115.057762,32.107800"
288,哈达铺,"121.310524,40.938828"
289,乾县,"108.239473,34.527551"
290,南台子,"127.157631,45.287785"
291,九龙川,[]
292,庆阳高铁站,"107.643631,35.709077"
293,柏树,"113.180206,23.098125"
294,新坝东,[]
295,鱼卡,"94.994949,38.047142"
296,鸳鸯,"110.868164,32.612980"
297,东桥,"121.286232,30.181400"
298,小河,"115.254272,24.099909"
299,麦西,"113.650337,33.771290"
300,双岔,"126.270294,41.679989"
301,孟庄,"115.996239,34.269581"
302,新华,[]
303,汉岔,[]
304,高庙山,"105.943977,35.422634"
305,吊子峪,"105.356522,33.500244"
306,天祝,[]
307,郎木寺,"102.636803,34.090034"
308,冶力关,"103.662727,34.963436"
309,兴仁堡,[]
310,文县,"104.683434,32.943815"
311,西安高铁站(商务),"108.947000,34.292000"
312,咸阳机场,"108.764819,34.438157"
313,武都*,"104.953921,33.371610"
314,兰州西,"103.834303,36.061089"
315,兰州机场,"103.616659,36.505923"
316,正宁,[]
317,平泉,"117.959295,40.907337"
318,平安,[]
319,陇城,"109.762268,26.015284"
320,西靖,"116.049011,36.347416"
321,天水镇,"105.607230,34.313180"
322,关子镇,"105.384285,34.628345"
323,张川,"107.797066,36.661774"
324,华家岭,"117.033913,36.094856"
325,延安,"109.489727,36.585455"
326,广元,"105.843357,32.435435"
327,罗城,"108.895883,24.776058"
328,夏河县路口,"102.521807,35.202503"
329,红寺堡,"106.072008,37.425872"
330,白银汽车站,"104.173354,36.537447"
331,平南,"110.390454,23.523303"
332,娘娘坝,"106.405304,33.396824"
333,大沙坪,"103.831955,36.091164"
334,雷大,"105.779816,35.260826"
335,肃南岔路,[]
336,甜水堡,[]
337,六盘山镇,[]
338,齐寿,"105.761749,34.354122"
339,中山桥北,[]
340,洪德,"109.893112,42.241043"
341,伏镇,"116.796410,35.842712"
342,碧口,"117.643936,26.277437"
343,杨家寺,"116.459221,37.531315"
344,苏城,"119.997711,32.196091"
345,庆城,"107.894603,35.982329"
346,杨家寺（扣费）,[]
