,Unnamed: 0,country_subdivision_code,place_of_loading,Cood
0,0,620321,甘肃省金昌市永昌县河西堡镇中铁华宇轨枕制造有限公司,"102.088381,38.381957"
1,1,620802,甘肃省平凉市崆峒区X049,"106.674767,35.542491"
2,2,620802,甘肃省平凉市崆峒区四十里铺镇陇东建材批发市场北200米平凉祁连山水泥公司,"106.843705,35.476769"
3,3,620802,甘肃省平凉市崆峒区海螺水泥公司(049县道东)平凉海螺水泥公司南二门,"106.682351,35.471240"
4,4,620802,甘肃省平凉市崆峒区峡门乡吴坡小学南350米,"106.695950,35.483129"
5,5,620402,甘肃省白银市白银区白银中材水泥厂,"104.128428,36.591596"
6,6,620121,甘肃省兰州市永登县永登祁连山水泥厂,"103.214169,36.825870"
7,7,620121,甘肃省兰州市永登县永登祁连山,"103.260380,36.736513"
8,8,620123,甘肃省兰州市榆中县甘肃京兰水泥有限公司,"103.968685,36.005311"
9,9,621125,甘肃省定西市漳县漳县祁连山水泥厂,"104.429516,34.844916"
10,10,623027,甘肃省甘南藏族自治州夏河县夏河祁连山水泥厂,"102.521807,35.202503"
11,11,620121,甘肃省兰州市永登县甘肃省兰州市永登祁连山,"103.260380,36.736513"
12,12,621221,甘肃省陇南市成县成县水泥厂,"105.742203,33.750477"
13,13,620321,甘肃省金昌市永昌县河西堡镇华宇轨枕制造有限公司,"102.088381,38.381957"
14,14,620104,甘肃省兰州市西固区鑫鑫物流园,"103.627964,36.088431"
15,15,620104,甘肃省兰州市西固区鑫港物流园,"103.606560,36.133907"
16,16,620104,甘肃省兰州市西固区鑫港库,"103.627964,36.088431"
17,17,620104,甘肃省兰州市西固区黄羊头,"103.590212,36.186338"
18,18,621002,甘肃省庆阳市西峰区董志镇（庆阳库）,"107.650387,35.662528"
19,19,620104,甘肃省兰州市西固区（鑫港库）,"103.627964,36.088431"
20,20,620122,甘肃省兰州市皋兰县鑫鑫物流园,"103.947377,36.332663"
21,21,620802,甘肃省平凉市崆峒区（平凉库）,"106.674767,35.542491"
22,22,620802,甘肃省平凉市崆峒区峡门平凉海螺水泥有限责任公司,"106.682351,35.471240"
23,23,620802,甘肃省平凉市崆峒区四十里铺镇平凉祁连山水泥厂,"106.844176,35.478224"
