,country_subdivision_code,place_of_loading
0,620321,甘肃省金昌市永昌县河西堡镇中铁华宇轨枕制造有限公司
1,620802,甘肃省平凉市崆峒区X049
2,620802,甘肃省平凉市崆峒区四十里铺镇陇东建材批发市场北200米平凉祁连山水泥公司
3,620802,甘肃省平凉市崆峒区海螺水泥公司(049县道东)平凉海螺水泥公司南二门
4,620802,甘肃省平凉市崆峒区峡门乡吴坡小学南350米
5,620402,甘肃省白银市白银区白银中材水泥厂
6,620121,甘肃省兰州市永登县永登祁连山水泥厂
7,620121,甘肃省兰州市永登县永登祁连山
8,620123,甘肃省兰州市榆中县甘肃京兰水泥有限公司
9,621125,甘肃省定西市漳县漳县祁连山水泥厂
10,623027,甘肃省甘南藏族自治州夏河县夏河祁连山水泥厂
11,620121,甘肃省兰州市永登县甘肃省兰州市永登祁连山
12,621221,甘肃省陇南市成县成县水泥厂
13,620321,甘肃省金昌市永昌县河西堡镇华宇轨枕制造有限公司
14,620104,甘肃省兰州市西固区鑫鑫物流园
15,620104,甘肃省兰州市西固区鑫港物流园
16,620104,甘肃省兰州市西固区鑫港库
17,620104,甘肃省兰州市西固区黄羊头
18,621002,甘肃省庆阳市西峰区董志镇（庆阳库）
19,620104,甘肃省兰州市西固区（鑫港库）
20,620122,甘肃省兰州市皋兰县鑫鑫物流园
21,620802,甘肃省平凉市崆峒区（平凉库）
22,620802,甘肃省平凉市崆峒区峡门平凉海螺水泥有限责任公司
23,620802,甘肃省平凉市崆峒区四十里铺镇平凉祁连山水泥厂
24,620802,甘肃省平凉市崆峒区四十里铺镇平凉祁连山水泥有限公司
25,620924,甘肃省酒泉市阿克塞哈萨克族自治县恒亚水泥厂
26,620502,甘肃省天水市秦州区万达库房
27,620200,甘肃省嘉峪关市嘉峪关市嘉峪关
28,620302,甘肃省金昌市金川区金川公司
29,620802,甘肃省平凉市崆峒区平凉海螺水泥有限责任公司
30,620104,甘肃省兰州市西固区久和皋兰三毅沥青库
31,620104,甘肃省兰州市西固区皋兰三毅沥青库
32,620121,甘肃省兰州市永登县中石油西北销售公司永登沥青库
33,620104,甘肃省兰州市西固区兰州久和汽配城皋兰三毅道路有限公司
34,620104,甘肃省兰州市西固区鑫港物流园 西柳沟街道环形西路6号
35,620321,甘肃省金昌市永昌县河西堡九鼎矿业
36,620121,甘肃省兰州市永登县永登沥青库
37,620121,甘肃省兰州市永登县西北销售公司永登沥青库
38,620121,甘肃省兰州市永登县西北销售公司沥青库
39,620104,甘肃省兰州市西固区久和汽配城三毅沥青库
40,623027,甘肃省甘南藏族自治州夏河县夏河祁连山
41,620105,甘肃省兰州市安宁区甘肃通汇鑫成型钢筋加工有限公司（焦家庄1号）
42,620105,甘肃省兰州市安宁区兰州市安宁区焦家庄1号（通汇鑫厂区）
43,620104,甘肃省兰州市西固区鑫港库，二十局
44,620123,甘肃省兰州市榆中县甘肃京兰
45,620104,甘肃省兰州市西固区鑫港
46,620104,甘肃省兰州市西固区鑫港物流
47,622925,甘肃省临夏回族自治州和政县临夏海螺水泥有限公司
48,620321,甘肃省金昌市永昌县花草滩
49,620922,甘肃省酒泉市瓜州县柳园镇曼特睿尔沥青库
50,620104,甘肃省兰州市西固区石化库
51,620104,甘肃省兰州市西固区兰化石化厂
52,620104,甘肃省兰州市西固区西固西路
53,620104,甘肃省兰州市西固区西固东路
54,620621,甘肃省武威市民勤县太西煤集团民勤实业有限公司
55,620104,甘肃省兰州市西固区昆仑库
56,620104,甘肃省兰州市西固区鑫港，21局，黄羊头
57,620104,甘肃省兰州市西固区鑫港，21局
58,620104,甘肃省兰州市西固区21局，鑫港
59,620104,甘肃省兰州市西固区鑫港库，21局
60,620104,甘肃省兰州市西固区304厂
61,620104,甘肃省兰州市西固区昆仑库（兰州）
62,620104,甘肃省兰州市西固区石化厂
63,620623,甘肃武威天祝藏族自治县
64,620104,甘肃省兰州市西固区陆港库
65,620104,甘肃省兰州市西固区兰化厂库（兰州）
66,620104,甘肃省兰州市西固区康略一标
67,620104,甘肃省兰州市西固区鑫港库和钢绞线库
68,620104,甘肃省兰州市西固区宏达公司
69,620921,甘肃省酒泉市金塔县金鑫工业区金航大道
70,620104,甘肃省兰州市西固区昆仑
71,620981,甘肃省酒泉市玉门市玉门市
72,620621,甘肃省武威市民勤县武威联硕生物科技有限公司
73,620921,甘肃省酒泉市金塔县水发农业集团（东坝）收购点
74,620121,甘肃省兰州市永登县高家庄
75,620402,甘肃省白银市白银区中铁建
76,620104,甘肃省兰州市西固区车站
77,620104,甘肃省兰州市西固区兰州市西固区西柳沟（华美库房）
78,620104,甘肃省兰州市西固区兰化厂
79,621021,甘肃省庆阳市庆城县庆城县北区庆华路3号
80,620104,甘肃省兰州市西固区石化库（兰州）
81,620104,甘肃省兰州市西固区鑫港物流园(公交站)
82,620503,甘肃省天水市麦积区甘肃万达
83,620503,甘肃省天水市麦积区（天水库）
84,621202,甘肃省陇南市武都区江南怡和小区
85,620104,甘肃省兰州市西固区四季青街道
86,621202,甘肃省陇南市武都区江南街道
87,621202,甘肃省陇南市武都区康耀库
88,621221,甘肃省陇南市成县成县祁连山水泥有限公司
89,621221,甘肃省陇南市成县成县祁连山水泥有限公司(东南门)
90,621221,甘肃省陇南市成县成县祁连山
91,620111,甘肃省兰州市红古区海石湾
92,620503,甘肃省天水市麦积区万达物流
93,620104,甘肃省兰州市西固区环行西路6号鑫港物流
94,620502,甘肃省天水市秦州区玉泉镇
95,620502,甘肃省天水市秦州区皇城名苑
